TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
New Orleans Pelicans,82,21,61,.256,48.2,109.8,40.6,89.9,45.2,12.0,34.6,34.7,16.5,21.9,75.4,12.1,31.5,43.6,25.8,14.6,8.5,5.2,5.2,18.3,17.9,-9.4
New York Knicks,82,51,31,.622,48.5,115.8,43.3,89.2,48.6,12.6,34.1,36.9,16.5,20.7,80.0,10.9,31.8,42.6,27.5,13.3,8.2,4.0,5.0,17.2,19.0,4.1
Oklahoma City Thunder,82,68,14,.829,48.1,120.5,44.6,92.7,48.2,14.5,38.8,37.4,16.7,20.4,81.9,10.6,34.2,44.8,26.9,11.7,10.3,5.7,4.8,19.9,18.1,12.9
Orlando Magic,82,41,41,.500,48.1,105.4,38.2,85.8,44.5,11.2,35.3,31.8,17.9,23.0,77.5,11.1,30.7,41.8,23.0,14.2,8.9,6.0,4.4,20.1,20.3,-0.1
Philadelphia 76ers,82,24,58,.293,48.3,109.6,39.7,87.4,45.4,12.7,37.2,34.1,17.5,22.5,78.0,10.4,29.4,39.8,23.2,13.6,9.2,4.5,5.1,19.0,18.7,-6.2
Phoenix Suns,82,36,46,.439,48.4,113.6,41.2,86.3,47.8,14.3,38.0,37.8,16.8,20.8,81.0,9.5,32.9,42.5,27.8,14.1,7.2,4.8,4.0,17.9,18.4,-3.0
Portland Trail Blazers,82,36,46,.439,48.2,110.9,40.5,90.2,45.0,12.9,37.7,34.2,16.9,22.2,76.2,13.4,31.4,44.8,23.8,16.0,8.3,5.3,5.5,19.0,19.3,-3.0
Sacramento Kings,82,40,42,.488,48.5,115.7,43.0,90.1,47.8,12.6,35.2,35.7,17.1,21.2,80.6,11.0,33.2,44.2,26.5,13.3,7.6,4.4,4.3,18.9,18.5,0.5
San Antonio Spurs,82,34,48,.415,48.1,113.9,41.8,89.8,46.5,14.1,39.6,35.7,16.2,21.0,77.4,10.9,32.7,43.7,28.6,13.9,8.2,5.5,4.3,16.6,17.4,-2.8
Toronto Raptors,82,30,52,.366,48.3,110.9,41.6,91.0,45.8,11.8,34.0,34.8,15.8,21.1,74.8,12.6,32.5,45.1,28.5,15.3,8.1,4.2,5.9,21.2,18.1,-4.3
Utah Jazz,82,17,65,.207,48.3,111.9,40.3,88.7,45.4,14.0,39.8,35.0,17.3,22.4,77.4,12.0,33.4,45.4,25.5,17.2,6.8,4.4,6.4,18.9,19.3,-9.3
Washington Wizards,82,18,64,.220,48.1,108.0,39.4,89.9,43.9,13.1,39.1,33.5,16.0,20.6,77.8,10.6,33.1,43.7,25.1,15.6,7.6,5.1,5.2,19.7,18.2,-12.4
